token,name,symbol,decimals
0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,Maker,MKR,18
0x5f98805a4e8be255a32880fdec7f6728c6568ba0,Liquity USD,LUSD,18
0xf1c9acdc66974dfb6decb12aa385b9cd01190e38,StakeWise Staked ETH,osETH,18
0x111111111117dc0aa78b770fa6a738034120c302,1inch Network,1INCH,18
0xcd5fe23c85820f7b72d0926fc9b05b43e359b7ee,Wrapped eETH,weETH,18
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,Ethena USDe,USDe,18
0xae78736cd615f374d3085123a210448e74fc6393,Rocket Pool ETH,RETH,18
0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,Lido wstETH,WSTETH,18
0xbe9895146f7af43049ca1c1ae358b0541ea49704,Coinbase Wrapped Staked ETH,cbETH,18
0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,Ethereum Name Service,ENS,18
0xa35b1b31ce002fbf2058d22f30f95d405200a15b,Stader ETHx,ETHX,18
0xd33526068d116ce69f19a9ee46f0bd304f21a51f,Rocket Pool,RPL,18
0xa1290d69c65a6fe4df752f95823fae25cb99e5a7,Kelp DAO Restaked ETH,RSETH,18
0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0,Frax Share,FXS,18
0xd533a949740bb3306d119cc777fa900ba034cd52,Curve DAO Token,CRV,18
0x9d39a5de30e57443bff2a8307a4256c8797a3497,Ethena Staked USDe,sUSDe,18
0x6b175474e89094c44da98b954eedeac495271d0f,Dai,DAI,18
0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDt,USDT,6
0x5a98fcbea516cf06857215779fd812ca3bef1b32,Lido DAO,LDO,18
0x18084fba666a33d37592fa2633fd49a74dd93a88,tBTC,TBTC,18
0xdefa4e8a7bcba345f687a2f1456f5edd9ce97202,Kyber Network Crystal v2,KNC,18
0x853d955acef822db058eb8505911ed77f175b99e,Frax,FRAX,18
0x514910771af9ca656af840dff83e8264ecf986ca,Chainlink,LINK,18
0xdc035d45d973e3ec169d2276ddab16f1e407384f,USDS,USDS,18
0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,Coinbase Wrapped BTC,CBBTC,8
0x83f20f44975d03b1b09e64809b757c47f942beea,Savings Dai,SDAI,18
0x6c3ea9036406852006290770bedfcaba0e23a0e8,PayPal USD,PYUSD,6
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,USDC,6
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,Wrapped Bitcoin,WBTC,8
0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,Synthetix Network Token,SNX,18
0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,Aave,AAVE,18
0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18
0x657e8c867d8b37dcc18fa4caead9c45eb088c642,ether.fi Staked BTC,EBTC,8
0xba100000625a3754423978a60c9317c58a424e3d,Balancer,BAL,18
0x40d16fc0246ad3160ccc09b8d0d3a2cd28ae6c2f,GHO,GHO,18
0xf939e0a03fb07f59a73314e73794be0e57ac1b4e,crvUSD,CRVUSD,18
0x8236a87084f8b84306f72007f36f2618a5634494,Lombard Staked BTC,LBTC,8
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,WETH,18
